FILE	computerUTC	DMY	HMS	LAT	LON	CONDUCTIVITY	SALINITY	OCEAN TEMP	BULK RED	STREAM PRESSURE	FILTER PRESSURE	MACHINE TEMP	Xaccel	Yaccel	Zaccel	MILLISECOND TIMER	LASER POWER	EVENT RATE	FLOW METER	position	NULL	NULL	NULL
sds_2010_041_18	2010041202600								35.7950	12.05	-0.18	0.00	0.0185	0.0173	0.0183	15580610	499.6	5610	5.00		0	0	0
sds_2010_041_19	2010041202900								30.8483	12.00	-0.17	0.00	0.0151	0.0149	0.0159	15760733	499.4	5869	5.00		0	0	0
sds_2010_041_20	2010041203201								34.3962	12.00	-0.17	0.01	0.0178	0.0168	0.0162	15940924	499.4	5918	4.99		0	0	0
sds_2010_041_21	2010041203501								34.2641	12.00	-0.17	0.01	0.0159	0.0163	0.0173	16121122	499.9	5961	4.99		0	0	0
sds_2010_041_22	2010041203801								30.3927	12.00	-0.17	0.01	0.0168	0.0165	0.0160	16301076	500.2	5913	4.99		0	0	0
sds_2010_041_23	2010041204101								33.6619	12.00	-0.16	0.02	0.0176	0.0165	0.0172	16481287	499.6	5859	4.99		0	0	0
sds_2010_041_24	2010041204401								33.4723	12.00	-0.17	0.01	0.0173	0.0160	0.0165	16661156	499.9	5974	4.99		0	0	0
sds_2010_041_25	2010041204701								30.0851	12.00	-0.17	0.01	0.0178	0.0173	0.0175	16841372	499.3	5915	4.99		0	0	0
sds_2010_041_26	2010041205001								29.7770	12.00	-0.16	0.02	0.0155	0.0165	0.0160	17021120	500.1	5724	4.99		0	0	0
sds_2010_041_27	2010041205301								32.8353	12.00	-0.17	0.01	0.0173	0.0163	0.0168	17201261	499.7	6783	4.99		0	0	0
sds_2010_041_28	2010041205601								32.8434	12.00	-0.17	0.01	0.0160	0.0157	0.0165	17381339	499.9	6924	4.99		0	0	0
sds_2010_041_29	2010041205901								29.4699	12.00	-0.17	0.01	0.0155	0.0155	0.0155	17561228	499.8	6818	4.99		0	0	0
sds_2010_041_30	2010041210201								30.0414	12.00	-0.17	0.00	0.0167	0.0162	0.0163	17741477	499.9	6755	4.99		0	0	0
sds_2010_041_31	2010041210501								29.8323	12.00	-0.17	0.00	0.0167	0.0159	0.0178	17921344	500.3	6676	4.99		0	0	0
sds_2010_041_32	2010041210801								29.6599	12.00	-0.17	0.01	0.0165	0.0165	0.0175	18101275	499.9	6592	4.99		0	0	0
sds_2010_041_33	2010041211101								29.8276	12.00	-0.17	0.02	0.0165	0.0154	0.0154	18281203	499.7	6638	4.99		0	0	0
sds_2010_041_34	2010041211401								33.6734	12.00	-0.17	0.01	0.0165	0.0162	0.0172	18461463	500.4	6626	4.99		0	0	0
sds_2010_041_35	2010041211701								29.3288	12.00	-0.17	0.01	0.0173	0.0170	0.0175	18641398	0.0	6543	4.99		0	0	0
sds_2010_041_36	2010041212001								28.9710	12.00	-0.17	0.01	0.0181	0.0173	0.0180	18821345	500.0	6357	4.99		0	0	0
sds_2010_041_37	2010041212301								28.3731	12.00	-0.17	0.01	0.0165	0.0163	0.0175	19001533	500.6	6263	4.98		0	0	0
sds_2010_041_38	2010041212601								34.1213	12.00	-0.17	0.01	0.0155	0.0157	0.0155	19181670	500.1	6027	4.98		0	0	0
sds_2010_041_39	2010041212901								29.0082	12.00	-0.17	0.01	0.0165	0.0160	0.0163	19361718	499.6	6546	4.98		0	0	0
sds_2010_041_40	2010041213201								28.6697	12.00	-0.18	0.00	0.0160	0.0163	0.0168	19541676	499.6	6372	4.98		0	0	0
sds_2010_041_41	2010041213501								28.8736	11.99	-0.18	0.00	0.0167	0.0163	0.0162	19721758	499.9	6289	4.98		0	0	0
sds_2010_041_42	2010041213801								29.1542	12.00	-0.18	0.01	0.0162	0.0159	0.0175	19901537	500.8	6356	4.98		0	0	0
sds_2010_041_43	2010041214101								28.9897	12.00	-0.18	0.00	0.0175	0.0173	0.0175	20081822	499.8	6278	4.98		0	0	0
sds_2010_041_44	2010041214401								30.0108	12.00	-0.18	0.00	0.0165	0.0155	0.0163	20261674	499.6	6351	4.98		0	0	0
sds_2010_041_45	2010041214701								29.2602	12.00	-0.18	0.00	0.0160	0.0155	0.0162	20441708	499.8	6307	4.98		0	0	0
sds_2010_041_46	2010041215001								29.4256	12.00	-0.18	0.00	0.0157	0.0151	0.0170	20621734	500.1	6207	4.98		0	0	0
sds_2010_041_47	2010041215302								35.1768	12.00	-0.18	0.00	0.0178	0.0168	0.0178	20801920	500.0	6114	4.98		0	0	0
sds_2010_041_48	2010041215601								33.3901	12.00	-0.18	0.01	0.0173	0.0175	0.0176	20981634	500.0	6410	4.98		0	0	0
sds_2010_041_49	2010041215901								29.9078	12.00	-0.18	0.01	0.0155	0.0147	0.0155	21161708	500.0	6189	4.98		0	0	0
sds_2010_041_50	2010041220201								29.9210	12.01	-0.18	0.00	0.0168	0.0160	0.0160	21341734	499.6	5957	4.98		0	0	0
sds_2010_041_51	2010041220501								30.1145	12.00	-0.18	0.01	0.0168	0.0154	0.0168	21521810	500.4	5893	4.98		0	0	0
sds_2010_041_52	2010041220802								31.2195	12.00	-0.18	0.01	0.0173	0.0172	0.0176	21702084	499.7	5929	4.98		0	0	0
sds_2010_041_53	2010041221102								30.4673	12.00	-0.18	0.00	0.0178	0.0172	0.0178	21882137	499.8	5894	4.98		0	0	0
sds_2010_041_54	2010041221402								30.5066	12.00	-0.18	0.01	0.0168	0.0172	0.0180	22061919	499.8	5998	4.97		0	0	0
sds_2010_041_55	2010041221702								30.6961	12.00	-0.18	0.00	0.0165	0.0160	0.0175	22242034	499.5	6232	4.97		0	0	0
sds_2010_041_56	2010041222002								30.1471	12.00	-0.18	0.01	0.0165	0.0163	0.0175	22422076	499.2	6272	4.97		0	0	0
sds_2010_041_57	2010041222301								31.3107	12.01	-0.18	0.01	0.0157	0.0155	0.0167	22601897	499.1	6205	4.97		0	0	0
sds_2010_041_58	2010041222602								29.7548	12.00	-0.18	0.01	0.0154	0.0154	0.0162	22781982	499.4	6186	4.97		0	0	0
sds_2010_041_59	2010041222902								29.9179	11.99	-0.19	0.00	0.0173	0.0168	0.0168	22962039	500.2	6152	4.97		0	0	0
sds_2010_041_60	2010041223202								29.6261	11.99	-0.18	0.01	0.0162	0.0160	0.0173	23142116	500.9	6201	4.97		0	0	0
sds_2010_041_61	2010041223502								30.0427	12.00	-0.18	0.01	0.0173	0.0167	0.0170	23322256	499.8	6143	4.97		0	0	0
sds_2010_041_62	2010041223802								29.7679	12.00	-0.19	0.01	0.0176	0.0162	0.0170	23502322	499.8	6232	4.97		0	0	0
sds_2010_041_63	2010041224102								30.3976	12.00	-0.18	0.00	0.0163	0.0152	0.0162	23682112	499.6	6234	4.97		0	0	0
sds_2010_041_64	2010041224402								29.4678	12.00	-0.18	0.01	0.0178	0.0167	0.0178	23862134	499.5	6095	4.97		0	0	0
sds_2010_041_65	2010041224702								29.3199	12.00	-0.19	0.01	0.0154	0.0152	0.0155	24042239	499.7	5838	4.97		0	0	0
sds_2010_041_66	2010041225002								29.1659	12.00	-0.18	0.00	0.0175	0.0160	0.0175	24222275	500.1	5944	4.97		0	0	0
sds_2010_041_67	2010041225302								29.4711	12.00	-0.18	0.01	0.0168	0.0170	0.0175	24402084	500.4	6120	4.97		0	0	0
