FILE	computerUTC	DMY	HMS	LAT	LON	CONDUCTIVITY	SALINITY	OCEAN TEMP	BULK RED	STREAM PRESSURE	FILTER PRESSURE	MACHINE TEMP	Xaccel	Yaccel	Zaccel	MILLISECOND TIMER	LASER POWER	EVENT RATE	FLOW METER	position	CHL	LIGHT TRANS	ACQ ERROR	D1/D2	PAR
sds_2013_241_1	13241000021	290813	000021	3115.37999	15000.06141				50.3088	12.00	NaN	2.98	0.0189	0.0309	0.0267	405376711	319.0	10167	2.88				-10.89	0.4943	
sds_2013_241_2	13241000407	290813	000407	3114.59183	15000.09433				48.4473	12.00	NaN	2.98	0.0264	0.0291	0.0309	405601934	319.0	10053	2.88				-8.62	0.5049	
sds_2013_241_3	13241000744	290813	000744	3113.87876	15000.12005				50.6655	12.00	NaN	2.98	0.0314	0.0293	0.0374	405819607	319.0	9917	2.88				-8.72	0.4830	
sds_2013_241_4	13241001123	290813	001123	3113.11811	15000.13344				50.9872	12.00	NaN	2.98	0.0257	0.0278	0.0296	406038684	319.0	9913	2.88				-10.71	0.4786	
sds_2013_241_5	13241001501	290813	001501	3112.38695	15000.11582				48.3858	12.00	NaN	2.98	0.0252	0.0304	0.0405	406256572	319.0	9924	2.88				-10.13	0.4891	
sds_2013_241_6	13241001831	290813	001831	3111.68929	15000.08323				49.3349	12.00	NaN	2.98	0.0217	0.0298	0.0299	406466039	319.0	9838	2.88				-9.08	0.4690	
sds_2013_241_7	13241002202	290813	002202	3110.95106	15000.08973				49.8889	12.00	NaN	2.98	0.0241	0.0264	0.0374	406677647	319.0	9968	2.88				-9.72	0.4894	
sds_2013_241_8	13241002542	290813	002542	3110.20920	15000.07273				47.8789	12.00	NaN	2.98	0.0295	0.0316	0.0316	406897918	319.0	9775	2.88				-11.71	0.4039	
sds_2013_241_9	13241002906	290813	002906	3109.49826	15000.06741				49.3275	12.00	NaN	2.98	0.0270	0.0269	0.0280	407101570	319.0	9762	2.88				-9.30	0.3993	
sds_2013_241_10	13241003235	290813	003235	3108.78143	15000.05696				49.2422	12.00	NaN	2.98	0.0225	0.0267	0.0275	407310454	319.0	9926	2.88				-6.98	0.4587	
sds_2013_241_11	13241003603	290813	003603	3108.06833	15000.04783				49.8466	12.00	NaN	2.98	0.0288	0.0291	0.0421	407517964	319.0	10006	2.88				-6.92	0.4653	
sds_2013_241_12	13241003924	290813	003924	3107.36304	15000.04039				48.7988	12.00	NaN	2.98	0.0280	0.0261	0.0325	407719824	319.0	9988	2.88				-9.48	0.4742	
sds_2013_241_13	13241004253	290813	004253	3106.63671	15000.02676				48.2196	12.00	NaN	2.98	0.0262	0.0288	0.0267	407928429	319.0	9889	2.88				-10.91	0.4617	
sds_2013_241_14	13241004627	290813	004627	3105.88885	15000.01092				48.7384	12.00	NaN	2.98	0.0261	0.0304	0.0316	408142250	319.0	9839	2.88				-11.78	0.4839	
sds_2013_241_15	13241005004	290813	005003	3105.15944	14959.99818				49.4557	12.00	NaN	2.98	0.0295	0.0262	0.0333	408358878	319.0	9858	2.88				-9.33	0.4749	
sds_2013_241_16	13241005343	290813	005343	3104.40258	14959.99080				49.6134	12.00	NaN	2.98	0.0240	0.0366	0.0296	408578401	319.0	9808	2.88				-8.80	0.4644	
sds_2013_241_17	13241005715	290813	005715	3103.66749	14959.98907				46.4399	12.00	NaN	2.98	0.0252	0.0280	0.0332	408790547	319.0	9809	2.88				-10.21	0.4581	
sds_2013_241_18	13241010047	290813	010047	3102.95447	14959.98365				49.4625	12.00	NaN	2.98	0.0246	0.0233	0.0325	409002014	319.0	9845	2.88				-8.98	0.4601	
sds_2013_241_19	13241010421	290813	010421	3102.22705	14959.95785				49.1971	12.00	NaN	2.98	0.0299	0.0340	0.0384	409216701	319.0	9904	2.88				-9.81	0.4631	
