FILE	computerUTC	DMY	HMS	LAT	LON	CONDUCTIVITY	SALINITY	OCEAN TEMP	BULK RED	STREAM PRESSURE	FILTER PRESSURE	MACHINE TEMP	Xaccel	Yaccel	Zaccel	MILLISECOND TIMER	LASER POWER	EVENT RATE	FLOW METER	POSITION	CHL	TRANS	PAR
sds_2011_302_1	11302000021	28-10-2011	23:59:31	+37.610368	-136.595232		33.691	19.371	25.0145	12.01	1.74	5.29	0.2262	0.0649	0.2068	69729477	0.0	11188	5.76		0.065	4.663	0176.0
sds_2011_302_2	11302000321	29-10-2011	00:02:32	+37.601793	-136.603420		33.642	19.209	25.0145	12.01	1.74	5.29	0.2199	0.0583	0.2005	69909495	0.0	11266	5.77		0.066	4.662	0173.0
sds_2011_302_3	11302000621	29-10-2011	00:05:32	+37.593208	-136.611625		33.607	19.241	25.0145	12.00	1.74	5.29	0.2188	0.0571	0.1992	70089506	0.0	11344	5.77		0.065	4.662	0172.0
sds_2011_302_4	11302000922	29-10-2011	00:08:32	+37.584645	-136.619795		33.642	19.421	25.0145	12.00	1.74	5.29	0.2335	0.0722	0.2139	70269912	0.0	11452	5.77		0.065	4.661	0168.0
sds_2011_302_5	11302001222	29-10-2011	00:11:32	+37.575912	-136.627998		33.694	19.487	25.0145	12.01	1.74	5.29	0.2222	0.0604	0.2023	70450279	0.0	11309	5.77		0.066	4.662	0167.0
sds_2011_302_6	11302001522	29-10-2011	00:14:33	+37.567157	-136.636145		33.709	19.498	25.0145	12.01	1.74	5.29	0.2214	0.0591	0.2002	70630338	0.0	11359	5.77		0.065	4.662	0174.0
sds_2011_302_7	11302001822	29-10-2011	00:17:34	+37.558375	-136.644188		33.705	19.27	25.0145	12.00	1.74	5.29	0.2210	0.0584	0.2005	70810653	0.0	11342	5.77		0.065	4.661	0179.0
sds_2011_302_8	11302002123	29-10-2011	00:20:34	+37.549592	-136.652165		33.591	19.162	25.0145	12.00	1.73	5.29	0.2254	0.0626	0.2039	70990698	0.0	11335	5.77		0.065	4.661	0186.0
sds_2011_302_9	11302002423	29-10-2011	00:23:35	+37.540690	-136.660298		33.550	18.943	25.0145	12.00	1.73	5.29	0.2199	0.0568	0.1984	71171033	0.0	11371	5.77		0.066	4.661	0191.0
sds_2011_302_10	11302002723	29-10-2011	00:26:35	+37.532013	-136.668348		33.490	18.958	25.0145	11.99	1.73	5.29	0.2199	0.0584	0.2013	71351139	0.0	11527	5.78		0.065	4.658	0188.0
