cruise,time,inst,a,sample,pop
Thompson_0,2009-11-09T04:22:54Z,740,10,FALSE,prochloro
Thompson_1,2010-05-06T11:56:35Z,740,10,FALSE,prochloro
CMOP_3,2010-05-24T12:17:47Z,740,10,FALSE,prochloro
Thompson_3,2010-08-10T07:41:18Z,740,10,FALSE,prochloro
Thompson_4,2010-11-13T10:56:24Z,740,2.2,FALSE,prochloro
Thompson_5,2010-12-31T18:39:37Z,740,2.14,FALSE,prochloro
Tokyo_1,2011-05-22T23:57:12Z,751,0.57,FALSE,prochloro
Thompson_6,2011-05-23T04:17:33Z,740,10,FALSE,prochloro
TN265,2011-06-16T23:29:03Z,740,10,FALSE,prochloro
Tokyo_2,2011-07-04T17:27:49Z,751,0.57,FALSE,prochloro
TN266,2011-07-15T23:30:48Z,740,10,FALSE,prochloro
TN267,2011-08-03T12:14:08Z,740,10,FALSE,prochloro
Tokyo_3,2011-09-26T16:34:18Z,751,0.57,TRUE,prochloro
MBARI_1,2011-10-06T07:10:03Z,989,0.6,TRUE,prochloro
Thompson_9,2011-10-30T10:33:34Z,740,10,TRUE,prochloro
Tokyo_4,2012-02-03T12:26:00Z,751,1.31,FALSE,prochloro
Thompson_10,2012-05-20T19:20:54Z,740,8.6,FALSE,prochloro
MBARI_2,2012-09-15T11:06:53Z,989,0.98,FALSE,prochloro
Thompson_11,2013-01-30T05:10:57Z,740,6.85,FALSE,prochloro
Thompson_12,2013-03-09T13:28:10Z,740,1,FALSE,prochloro
DeepDOM,2013-04-14T16:52:24Z,989,1.21,TRUE,prochloro
KiloMoana_1,2013-08-24T19:39:05Z,740,2.2,FALSE,prochloro
MBARI_3,2013-10-13T19:08:44Z,989,1.21,FALSE,prochloro
SCOPE_1,2014-12-10T13:33:00Z,740,1.18,FALSE,prochloro
SCOPE_2,2015-03-25T06:17:48Z,740,1.45,FALSE,prochloro
SCOPE_3,2015-05-24T19:41:00Z,740,1.03,TRUE,prochloro
SCOPE_4,2015-06-19T18:36:14Z,740,2,TRUE,prochloro
SCOPE_5,2015-07-20T16:34:21Z,740,1.16,TRUE,prochloro
SCOPE_6,2015-07-30T10:49:29Z,740,0.81,TRUE,prochloro
SCOPE_9,2015-09-26T19:10:48Z,751,1.47,FALSE,prochloro
SCOPE_10,2015-10-13T22:47:46Z,751,0.53,TRUE,prochloro
SCOPE_11,2015-11-14T13:36:48Z,740,1.05,FALSE,prochloro
SCOPE_12,2016-01-13T14:26:40Z,740,1.18,TRUE,prochloro
SCOPE_13,2016-02-10T15:26:18Z,740,1.11,TRUE,prochloro
SCOPE_14,2016-03-09T00:02:55Z,740,1.19,FALSE,prochloro
SCOPE_15,2016-04-15T12:24:13Z,751,1.33,TRUE,prochloro
SCOPE_16,2016-04-26T23:25:15Z,751,1.56,TRUE,prochloro
SCOPE_17,2016-05-13T11:45:25Z,751,1.56,FALSE,prochloro
SCOPE_18,2016-07-12T14:40:34Z,751,1.51,TRUE,prochloro
SCOPE_19,2016-08-10T14:18:17Z,751,2.22,TRUE,prochloro
MGL1704,2017-06-06T02:23:08Z,751,1,TRUE,prochloro
HOT-294,2017-06-21T14:02:17Z,751,1.8,TRUE,prochloro
MESO_SCOPE,2017-07-05T20:31:11Z,751,1.33,FALSE,prochloro
KM1712,2017-08-17T12:26:29Z,751,0.72,TRUE,prochloro
KM1713,2017-09-16T14:48:22Z,751,0.72,FALSE,prochloro
HOT297,2017-11-09T13:30:22Z,751,1.59,FALSE,prochloro
HOT299,2018-01-18T01:11:08Z,751,1.33,FALSE,prochloro
HOT300,2018-02-26T17:01:09Z,751,1.33,TRUE,prochloro
SCOPE_Falkor1,2018-03-17T06:53:49Z,751,1.43,FALSE,prochloro
SCOPE_Falkor2,2018-04-03T11:03:37Z,751,1.51,FALSE,prochloro
HOT301,2018-04-18T15:39:20Z,751,1.59,TRUE,prochloro
HOT302,2018-05-16T12:36:19Z,751,1.56,FALSE,prochloro
HOT303,2018-06-27T15:10:23Z,751,1.5,FALSE,prochloro
KOK1805,2018-07-09T23:45:03Z,751,1.49,FALSE,prochloro
KOK1806,2018-07-15T14:55:59Z,751,1.48,FALSE,prochloro
HOT304,2018-07-25T13:57:00Z,751,1.47,TRUE,prochloro
GP15_1,2018-09-26T21:20:12Z,751,0.03,TRUE,prochloro
GP15_2,2018-11-10T19:04:32Z,751,1.31,TRUE,prochloro
HOT307,2018-11-17T17:48:07Z,740,4,FALSE,prochloro
HOT308,2018-12-11T17:11:36Z,740,4.07,FALSE,prochloro
HOT309,2019-01-16T20:39:37Z,740,4.18,TRUE,prochloro
HOT310,2019-02-20T11:27:52Z,740,3.02,FALSE,prochloro
KM1906_towfish,2019-04-13T02:32:25Z,751,1.06,TRUE,prochloro
KM1906,2019-04-20T07:03:33Z,740,1.05,TRUE,prochloro
HOT312,2019-06-12T12:52:48Z,740,1.64,TRUE,prochloro
HOT313,2019-07-02T13:41:54Z,740,6.19,TRUE,prochloro
HOT314,2019-08-03T12:19:52Z,740,2.6,TRUE,prochloro
HOT315,2019-09-05T17:13:41Z,740,6.59,TRUE,prochloro
KM1919,2019-09-24T01:29:46Z,751,1.73,FALSE,prochloro
KM1920,2019-10-10T00:56:54Z,751,1.31,FALSE,prochloro
SR1917,2019-11-16T21:13:53Z,751,1.95,TRUE,prochloro
KM1923_751,2019-12-11T11:39:22Z,751,1.95,FALSE,prochloro
KM1923_740,2019-12-11T20:22:09Z,740,1.13,FALSE,prochloro
HOT317,2019-12-20T01:47:12Z,740,1.37,FALSE,prochloro
HOT318,2020-01-08T08:00:48Z,740,1.22,FALSE,prochloro
HOT319,2020-01-31T19:27:51Z,740,1.55,TRUE,prochloro
HOT321,2020-08-08T23:12:26Z,740,2.2,TRUE,prochloro
HOT322,2020-09-02T13:42:50Z,740,2.37,TRUE,prochloro
HOT323,2020-09-28T07:42:01Z,740,2.08,TRUE,prochloro
HOT324,2020-11-20T09:05:36Z,740,1.66,TRUE,prochloro
HOT325,2020-12-19T16:56:04Z,740,1.37,TRUE,prochloro
HOT326,2021-01-13T12:24:08Z,740,1.22,TRUE,prochloro
HOT328,2021-03-24T19:58:40Z,740,3.92,TRUE,prochloro
HOT329,2021-04-14T18:13:00Z,740,2.14,TRUE,prochloro
HOT330,2021-05-17T18:48:50Z,740,3.77,TRUE,prochloro
HOT331,2021-06-23T18:30:00Z,740,2.99,TRUE,prochloro
HOT332,2021-07-17T12:31:55Z,740,2.16,TRUE,prochloro
SCOPE-PARAGON,2021-07-29T04:38:16Z,740,2,FALSE,prochloro
RR2106,2021-09-26T08:07:49Z,751,1.95,FALSE,prochloro
TN396_740,2021-11-14T12:43:48Z,740,1.27,FALSE,prochloro
TN397_740,2021-12-02T15:48:07Z,740,1.13,TRUE,prochloro
TN398,2021-12-24T11:24:29Z,740,1.14,TRUE,prochloro
HOT335,2022-03-28T13:31:29Z,740,1.41,FALSE,prochloro
HOT336,2022-05-27T19:53:00Z,740,1.41,FALSE,prochloro
KM2206_740,2022-06-20T20:30:47Z,740,1.41,TRUE,prochloro
HOT337,2022-07-10T22:34:05Z,740,1.41,FALSE,prochloro
HOT338,2022-08-01T00:17:00Z,740,1.41,FALSE,prochloro
SCOPE-PARAGONII,2022-08-09T03:00:21Z,740,1.41,FALSE,prochloro
TN412_130,2023-02-04T16:22:47Z,130,1.52,TRUE,prochloro
TN413,2023-03-04T15:22:37Z,130,1.55,TRUE,prochloro
TN414,2023-03-16T20:00:27Z,130,2.95,TRUE,prochloro
TN412_130,2023-02-04T16:22:47Z,130,0.25,TRUE,picoeuk
TN413,2023-03-04T15:22:37Z,130,0.14,TRUE,picoeuk
TN414,2023-03-16T20:00:27Z,130,0.26,TRUE,picoeuk
