influx_vol,influx_count,influx_conc,seaflow_serial,seaflow_vol,evt,seaflow_conc,detectable_region_ratio,
0.32,37629,117591,740,37.99,771072,20297,0.172604828,
0.32,35964,112388,740,38.29,752640,19656,0.174897628,
0.33,41134,124648,740,38.25,829056,21675,0.173886323,
0.32,37088,115900,751,41.77,1034833,24775,0.213757991,
0.3,36577,121923,751,41.73,1074829,25757,0.211253622,
0.32,43018,134431,751,41.78,1193170,28558,0.212438709,
0.26,33096,127292,989,34.57,830848,24034,0.188807847,
0.25,32773,131092,989,34.78,845440,24308,0.18542873,
0.23,44195,192152,989,34.87,1132420,32475,0.169009175,
0.24,43339,180579,989,34.64,1107330,31967,0.177023751,
