cruise,ship,time,correction
Thompson_0,R/V Thomas G Thompson,2009-11-08,NA
Thompson_1,R/V Thomas G Thompson,2010-05-06,NA
CMOP_3,R/V Wecoma,2010-05-24,NA
Thompson_2,R/V Thomas G Thompson,2010-06-28,1.251
Thompson_3,R/V Thomas G Thompson,2010-08-09,1.335
Thompson_4,R/V Thomas G Thompson,2010-11-14,1.073
Thompson_5,R/V Thomas G Thompson,2010-12-31,1.407
Thompson_6,R/V Thomas G Thompson,2011-05-23,1.619
Tokyo_1,M/V Tokyo,2011-05-23,NA
TN265,R/V Thomas G Thompson,2011-06-15,1.49
Tokyo_2,M/V Tokyo,2011-07-03,NA
TN266,R/V Thomas G Thompson,2011-07-11,1.489
TN267,R/V Thomas G Thompson,2011-08-03,1.267
Thompson_7,R/V Thomas G Thompson,2011-08-26,1.327
Tokyo_3,M/V Tokyo,2011-09-25,NA
MBARI_1,R/V Western Flyer,2011-10-05,NA
Thompson_8,R/V Thomas G Thompson,2011-10-09,0.625
Thompson_9,R/V Thomas G Thompson,2011-10-30,0.416
Tokyo_4,M/V Tokyo,2012-02-03,NA
Thompson_10,R/V Thomas G Thompson,2012-05-19,1.431
MBARI_2,R/V Western Flyer,2012-09-15,NA
Thompson_11,R/V Thomas G Thompson,2013-01-29,6.57
Thompson_12,R/V Thomas G Thompson,2013-03-09,NA
DeepDOM,R/V Knorr,2013-04-14,0.654
KiloMoana_1,R/V Kilo Moana,2013-08-22,1.026
MBARI_3,R/V Western Flyer,2013-10-13,NA
SCOPE_1,R/V Kilo Moana,2014-12-10,0.598
SCOPE_2,R/V Kilo Moana,2015-03-25,0.58
SCOPE_3,R/V Kilo Moana,2015-05-24,1.474
SCOPE_4,R/V Kilo Moana,2015-06-19,1.034
SCOPE_5,R/V Kilo Moana,2015-07-20,0.799
SCOPE_6,R/V Kilo Moana,2015-07-30,0.816
SCOPE_9,R/V Kaimikai O Kanaloa,2015-09-27,2.261
SCOPE_10,R/V Kaimikai O Kanaloa,2015-10-14,0.961
SCOPE_11,R/V Kilo Moana,2015-11-14,0.943
SCOPE_12,R/V Kilo Moana,2016-01-13,0.968
SCOPE_13,R/V Kilo Moana,2016-02-10,0.995
SCOPE_14,R/V Kilo Moana,2016-03-09,NA
SCOPE_15,R/V Kaimikai O Kanaloa,2016-04-15,1.213
SCOPE_16,R/V Kaimikai O Kanaloa,2016-04-27,1.36
SCOPE_17,R/V Kaimikai O Kanaloa,2016-05-13,NA
SCOPE_18,R/V Kaimikai O Kanaloa,2016-07-12,1.002
SCOPE_19,R/V Kaimikai O Kanaloa,2016-08-10,1.019
MGL1704,R/V Langseth,2017-06-04,0.951
HOT-294,R/V Kilo Moana,2017-06-21,0.813
MESO_SCOPE,R/V Kilo Moana,2017-07-05,513.242
KM1712,R/V Kilo Moana,2017-08-15,2.323
KM1713,R/V Kilo Moana,2017-09-15,2.399
HOT297,R/V Kilo Moana,2017-11-09,1.14
HOT299,R/V Kilo Moana,2018-01-17,1.151
HOT300,R/V Kilo Moana,2018-02-26,1.256
SCOPE_Falkor1,R/V Falkor,2018-03-17,1.106
SCOPE_Falkor2,R/V Falkor,2018-04-03,1.155
HOT301,R/V Kaimikai O Kanaloa,2018-04-18,1.128
HOT302,R/V Kaimikai O Kanaloa,2018-05-16,1.318
HOT303,R/V Kaimikai O Kanaloa,2018-06-27,1.279
