cruise,prochloro,synecho,croco,picoeuk,beads,unknown
Thompson_0.outlier,lwr,lwr,lwr,lwr,lwr,lwr
Thompson_1.outlier,lwr,lwr,lwr,lwr,lwr,lwr
CMOP_3.outlier,lwr,lwr,lwr,lwr,lwr,lwr
Thompson_3.outlier,lwr,lwr,lwr,lwr,lwr,lwr
Thompson_4.outlier,lwr,lwr,lwr,lwr,lwr,lwr
Thompson_5.outlier,lwr,lwr,lwr,lwr,lwr,lwr
Tokyo_1.outlier,lwr,lwr,lwr,lwr,lwr,lwr
Thompson_6.outlier,lwr,lwr,lwr,lwr,lwr,lwr
TN265.outlier,lwr,lwr,lwr,lwr,lwr,lwr
Tokyo_2.outlier,lwr,lwr,lwr,lwr,lwr,lwr
TN266.outlier,lwr,lwr,lwr,lwr,lwr,lwr
TN267.outlier,lwr,lwr,lwr,lwr,lwr,lwr
Tokyo_3.outlier,lwr,lwr,lwr,lwr,lwr,lwr
MBARI_1.outlier,lwr,lwr,lwr,lwr,lwr,lwr
Thompson_9.outlier,mid,mid,lwr,lwr,lwr,lwr
Tokyo_4.outlier,lwr,lwr,lwr,lwr,lwr,lwr
Thompson_10.outlier,lwr,lwr,lwr,lwr,lwr,lwr
MBARI_2.outlier,lwr,lwr,lwr,lwr,lwr,lwr
Thompson_11.outlier,lwr,lwr,lwr,lwr,lwr,lwr
Thompson_12.outlier,lwr,lwr,lwr,lwr,lwr,lwr
DeepDOM.outlier,mid,mid,lwr,lwr,lwr,lwr
KiloMoana_1.outlier,lwr,lwr,lwr,lwr,lwr,lwr
MBARI_3.outlier,lwr,lwr,lwr,lwr,lwr,lwr
SCOPE_1.outlier,mid,mid,lwr,lwr,lwr,lwr
SCOPE_2.outlier,mid,mid,lwr,lwr,lwr,lwr
SCOPE_3.outlier,mid,mid,lwr,lwr,lwr,lwr
SCOPE_4.outlier,mid,mid,lwr,lwr,lwr,lwr
SCOPE_5.outlier,mid,mid,lwr,lwr,lwr,lwr
SCOPE_6.outlier,mid,mid,lwr,lwr,lwr,lwr
SCOPE_9.outlier,mid,mid,lwr,lwr,lwr,lwr
SCOPE_10.outlier,mid,mid,lwr,lwr,lwr,lwr
SCOPE_11.outlier,mid,mid,lwr,lwr,lwr,lwr
SCOPE_12.outlier,mid,mid,lwr,lwr,lwr,lwr
SCOPE_13.outlier,mid,mid,lwr,lwr,lwr,lwr
SCOPE_14.outlier,mid,mid,lwr,lwr,lwr,lwr
SCOPE_15.outlier,mid,mid,lwr,lwr,lwr,lwr
SCOPE_16.outlier,mid,mid,lwr,lwr,lwr,lwr
SCOPE_17.outlier,mid,mid,lwr,lwr,lwr,lwr
SCOPE_18.outlier,mid,mid,lwr,lwr,lwr,lwr
SCOPE_19.outlier,lwr,lwr,lwr,lwr,lwr,lwr
MGL1704.outlier,upr,upr,lwr,lwr,lwr,lwr
HOT-294.outlier,upr,upr,lwr,lwr,lwr,lwr
MESO_SCOPE.outlier,upr,upr,lwr,lwr,lwr,lwr
KM1712.outlier,upr,upr,lwr,lwr,lwr,lwr
KM1713.outlier,upr,upr,lwr,lwr,lwr,lwr
HOT297.outlier,mid,mid,lwr,lwr,lwr,lwr
HOT299.outlier,upr,upr,lwr,lwr,lwr,lwr
HOT300.outlier,upr,upr,lwr,lwr,lwr,lwr
SCOPE_Falkor1.outlier,upr,upr,lwr,lwr,lwr,lwr
SCOPE_Falkor2.outlier,upr,upr,lwr,lwr,lwr,lwr
HOT301.outlier,upr,upr,lwr,lwr,lwr,lwr
HOT302.outlier,upr,upr,lwr,lwr,lwr,lwr
HOT303.outlier,upr,upr,lwr,lwr,lwr,lwr
KOK1805.outlier,upr,upr,lwr,lwr,lwr,lwr
KOK1806.outlier,upr,upr,lwr,lwr,lwr,lwr
HOT304.outlier,upr,upr,lwr,lwr,lwr,lwr
GP15_1.outlier,mid,mid,lwr,lwr,lwr,lwr
GP15_2.outlier,lwr,lwr,lwr,lwr,lwr,lwr
HOT307.outlier,mid,mid,lwr,lwr,lwr,lwr
HOT308.outlier,mid,mid,lwr,lwr,lwr,lwr
HOT309.outlier,mid,mid,lwr,lwr,lwr,lwr
HOT310.outlier,lwr,lwr,lwr,lwr,lwr,lwr
KM1906_towfish.outlier,mid,mid,lwr,lwr,lwr,lwr
KM1906.outlier,mid,mid,lwr,lwr,lwr,lwr
HOT312.outlier,mid,mid,lwr,lwr,lwr,lwr
HOT313.outlier,lwr,lwr,lwr,lwr,lwr,lwr
HOT314.outlier,lwr,lwr,lwr,lwr,lwr,lwr
HOT315.outlier,mid,mid,lwr,lwr,lwr,lwr
KM1919.outlier,lwr,lwr,lwr,lwr,lwr,lwr
KM1920.outlier,mid,mid,lwr,lwr,lwr,lwr
SR1917.outlier,mid,mid,lwr,lwr,lwr,lwr
KM1923_751.outlier,lwr,lwr,lwr,lwr,lwr,lwr
KM1923_740.outlier,upr,upr,lwr,lwr,lwr,lwr
HOT317.outlier,mid,mid,lwr,lwr,lwr,lwr
HOT318.outlier,lwr,lwr,lwr,lwr,lwr,lwr
HOT319.outlier,mid,mid,lwr,lwr,lwr,lwr
HOT321.outlier,mid,mid,lwr,lwr,lwr,lwr
HOT322.outlier,mid,mid,lwr,lwr,lwr,lwr
HOT323.outlier,mid,mid,lwr,lwr,lwr,lwr
HOT324.outlier,mid,mid,lwr,lwr,lwr,lwr
HOT325.outlier,mid,mid,lwr,lwr,lwr,lwr
HOT326.outlier,mid,mid,lwr,lwr,lwr,lwr
HOT328.outlier,mid,mid,lwr,lwr,lwr,lwr
HOT329.outlier,mid,mid,lwr,lwr,lwr,lwr
HOT330.outlier,mid,mid,lwr,lwr,lwr,lwr
HOT331.outlier,mid,mid,lwr,lwr,lwr,lwr
HOT332.outlier,mid,mid,lwr,lwr,lwr,lwr
SCOPE-PARAGON.outlier,mid,mid,lwr,lwr,lwr,lwr
