scatter,diam_740_mid,diam_740_upr,diam_740_lwr,Qc_740_mid,Qc_740_upr,Qc_740_lwr,diam_751_mid,diam_751_upr,diam_751_lwr,Qc_751_mid,Qc_751_upr,Qc_751_lwr,diam_989_mid,diam_989_upr,diam_989_lwr,Qc_989_mid,Qc_989_upr,Qc_989_lwr,diam_130_mid,diam_130_upr,diam_130_lwr,Qc_130_mid,Qc_130_upr,Qc_130_lwr
0.000501643,0.298389206,0.370533539,0.248748231,0.00660574,0.011549327,0.004130858,0.205272665,0.254026631,0.171565789,0.002516499,0.004360848,0.00158421,0.226999736,0.281119842,0.189603445,0.003262315,0.005663969,0.002050339,0.298389206,0.370533539,0.248748231,0.00660574,0.011549327,0.004130858
0.00050315,0.298590757,0.370787218,0.248913287,0.006617235,0.011569695,0.004137951,0.205442256,0.254238059,0.171706394,0.002521865,0.004370214,0.001587565,0.227177982,0.281341652,0.189751564,0.003268928,0.005675524,0.002054471,0.298590757,0.370787218,0.248913287,0.006617235,0.011569695,0.004137951
0.000504661,0.298790573,0.371039538,0.249078838,0.006628693,0.011590035,0.004145065,0.205612356,0.254450122,0.17184742,0.002527248,0.004379607,0.00159093,0.227355798,0.281564128,0.189900128,0.003275545,0.005687115,0.002058615,0.298790573,0.371039538,0.249078838,0.006628693,0.011590035,0.004145065
0.000506177,0.298990988,0.371291531,0.249244887,0.006640185,0.01161039,0.0041522,0.205782337,0.254661544,0.17198887,0.002532638,0.004389007,0.001594305,0.227534149,0.281787272,0.19004798,0.003282182,0.00569874,0.002062757,0.298990988,0.371291531,0.249244887,0.006640185,0.01161039,0.0041522
0.000507697,0.299192006,0.371544282,0.249411435,0.006651712,0.011630806,0.004159357,0.20595177,0.2548728,0.172130053,0.002538032,0.004398422,0.001597684,0.227713035,0.282011087,0.190195842,0.003288839,0.0057104,0.002066907,0.299192006,0.371544282,0.249411435,0.006651712,0.011630806,0.004159357
0.000509222,0.299393627,0.371797791,0.249578483,0.006663274,0.011651284,0.004166535,0.206121713,0.255084692,0.172270935,0.002543442,0.004407864,0.001601065,0.227892458,0.282233627,0.190344147,0.003295516,0.005722051,0.002071068,0.299393627,0.371797791,0.249578483,0.006663274,0.011651284,0.004166535
0.000510752,0.299595854,0.372052062,0.249745221,0.00667487,0.011671822,0.004173715,0.206292167,0.25529722,0.172412239,0.002548868,0.004417335,0.001604457,0.228071181,0.282456439,0.190492898,0.003302193,0.005733729,0.002075243,0.299595854,0.372052062,0.249745221,0.00667487,0.011671822,0.004173715
0.000512286,0.299797512,0.372306834,0.249911073,0.006686465,0.011692412,0.004180885,0.206463132,0.255510303,0.172553968,0.00255431,0.004426833,0.001607859,0.228249775,0.28267992,0.190642095,0.003308879,0.005745442,0.00207943,0.299797512,0.372306834,0.249911073,0.006686465,0.011692412,0.004180885
0.000513824,0.299998326,0.372559416,0.250077422,0.006698049,0.011712937,0.004188076,0.206633314,0.255722023,0.172696123,0.002559752,0.004436325,0.001611272,0.228428906,0.282904073,0.190790379,0.003315585,0.00575719,0.002083612,0.299998326,0.372559416,0.250077422,0.006698049,0.011712937,0.004188076
0.000515368,0.300199743,0.372812756,0.250244272,0.006709669,0.011733525,0.004195289,0.20680361,0.255934379,0.172837494,0.002565206,0.004445845,0.001614683,0.228608574,0.283128843,0.190938871,0.003322312,0.005768972,0.002087804,0.300199743,0.372812756,0.250244272,0.006709669,0.011733525,0.004195289
0.000516915,0.300401765,0.373066858,0.250411623,0.006721323,0.011754174,0.004202524,0.206974416,0.256147373,0.172979077,0.002570676,0.004455394,0.001618102,0.228788782,0.283351992,0.191087809,0.003329058,0.005780737,0.002092009,0.300401765,0.373066858,0.250411623,0.006721323,0.011754174,0.004202524
0.000518468,0.300604394,0.373321722,0.250579476,0.006733012,0.011774885,0.00420978,0.207145736,0.256361007,0.173121085,0.002576163,0.004464972,0.001621531,0.228967989,0.283575811,0.191237195,0.0033358,0.005792539,0.002096226,0.300604394,0.373321722,0.250579476,0.006733012,0.011774885,0.00420978
0.000520025,0.300807632,0.373577352,0.25074634,0.006744737,0.011795658,0.004217023,0.207317296,0.256574303,0.173263519,0.002581662,0.004474561,0.001624971,0.229147364,0.283800302,0.191387029,0.003342556,0.005804375,0.002100456,0.300807632,0.373577352,0.25074634,0.006744737,0.011795658,0.004217023
0.000521587,0.301009377,0.373832142,0.250912993,0.006756431,0.011816425,0.00422427,0.207487945,0.256787126,0.173406076,0.00258716,0.00448416,0.001628418,0.229327277,0.284025467,0.191535742,0.003349332,0.005816247,0.002104679,0.301009377,0.373832142,0.250912993,0.006756431,0.011816425,0.00422427
0.000523154,0.301211196,0.374086076,0.251080146,0.006768144,0.011837184,0.00423154,0.207659108,0.257000588,0.173547939,0.002592675,0.004493787,0.001631864,0.229507732,0.284250798,0.191684868,0.003356128,0.005828144,0.002108915,0.301211196,0.374086076,0.251080146,0.006768144,0.011837184,0.00423154
0.000524725,0.301413621,0.374340773,0.251247801,0.006779891,0.011858007,0.004238831,0.207830784,0.257214692,0.173690227,0.002598206,0.004503444,0.001635321,0.229688728,0.284474955,0.191834442,0.003362945,0.005840034,0.002113163,0.301413621,0.374340773,0.251247801,0.006779891,0.011858007,0.004238831
